Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:3	 Activity:0	 Temperature:20.00	 ID:1212	 User:tony
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:3	 Activity:0	 Temperature:20.00	 ID:1212	 User:tony
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:3	 Activity:0	 Temperature:20.00	 ID:1212	 User:tony
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:3	 Activity:0	 Temperature:20.00	 ID:1212	 User:tony
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:3	 Activity:0	 Temperature:20.00	 ID:1212	 User:tony
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:3	 Activity:0	 Temperature:20.00	 ID:1212	 User:tony
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:3	 Activity:0	 Temperature:20.00	 ID:1212	 User:tony
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:3	 Activity:0	 Temperature:20.00	 ID:1212	 User:tony
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:3	 Activity:0	 Temperature:20.00	 ID:1212	 User:tony
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:3	 Activity:0	 Temperature:20.00	 ID:1212	 User:tony
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
Cabin:1	 Activity:1	 Temperature:23.00	 ID:112	 User:Unknown
